89.185.80.238:443#US美国 [2.17ms]
129.154.251.13:443#IN印度 [229.66ms]
81.85.75.97:443#KGKG [230.69ms]
161.248.31.198:443#VN越南 [230.82ms]
163.61.74.121:443#VN越南 [231.00ms]
20.174.15.226:443#AE阿联酋 [238.14ms]
147.78.0.186:2053#AE阿联酋 [240.47ms]
188.208.110.30:443#AE阿联酋 [243.90ms]
176.97.66.175:443#AE阿联酋 [244.75ms]
172.86.77.145:443#AE阿联酋 [246.54ms]
90.156.220.194:2053#AE阿联酋 [247.32ms]
144.172.88.34:443#AE阿联酋 [248.23ms]
84.235.250.237:443#AE阿联酋 [248.40ms]
188.208.110.35:2096#AE阿联酋 [248.45ms]
38.180.11.15:443#AE阿联酋 [250.83ms]
193.123.74.174:8443#AE阿联酋 [251.47ms]
172.86.77.96:443#AE阿联酋 [253.12ms]
139.84.244.9:443#ZA南非 [254.93ms]
139.84.235.99:443#ZA南非 [258.55ms]
139.84.230.41:443#ZA南非 [260.53ms]
139.84.236.69:443#ZA南非 [260.68ms]
156.38.157.171:2053#ZA南非 [260.80ms]
156.38.157.171:8443#ZA南非 [263.78ms]
45.138.158.191:443#UZUZ [334.83ms]
